asset_id,symbol,name,exchange,board,list_date,reason_bucket
CN:SH:603014,603014,威高血净,SH,SSE_MAIN,2025-05-19,listed_since_2025
CN:SH:603382,603382,海阳科技,SH,SSE_MAIN,2025-06-12,listed_since_2025
CN:SH:688755,688755,汉邦科技,SH,STAR,2025-05-16,listed_since_2025
CN:SH:600897,600897,厦门空港,SH,SSE_MAIN,1996-05-31,normal_missing
CN:SH:601089,601089,XD福元医,SH,SSE_MAIN,2022-06-30,normal_missing
CN:SH:603016,603016,新宏泰,SH,SSE_MAIN,2016-07-01,normal_missing
CN:SH:603070,603070,万控智造,SH,SSE_MAIN,2022-03-10,normal_missing
CN:SH:603073,603073,彩蝶实业,SH,SSE_MAIN,2023-03-16,normal_missing
CN:SH:603130,603130,云中马,SH,SSE_MAIN,2022-11-18,normal_missing
CN:SH:603151,603151,邦基科技,SH,SSE_MAIN,2022-10-19,normal_missing
CN:SH:603159,603159,上海亚虹,SH,SSE_MAIN,2016-08-12,normal_missing
CN:SH:603170,603170,XD宝立食,SH,SSE_MAIN,2022-07-15,normal_missing
CN:SH:603217,603217,元利科技,SH,SSE_MAIN,2019-06-20,normal_missing
CN:SH:603230,603230,内蒙新华,SH,SSE_MAIN,2021-12-24,normal_missing
CN:SH:603255,603255,鼎际得,SH,SSE_MAIN,2022-08-18,normal_missing
CN:SH:603291,603291,联合水务,SH,SSE_MAIN,2023-03-27,normal_missing
CN:SH:603325,603325,博隆技术,SH,SSE_MAIN,2024-01-10,normal_missing
CN:SH:603332,603332,苏州龙杰,SH,SSE_MAIN,2019-01-17,normal_missing
CN:SH:603351,603351,威尔药业,SH,SSE_MAIN,2019-01-30,normal_missing
CN:SH:603520,603520,司太立,SH,SSE_MAIN,2016-03-09,normal_missing
CN:SH:603586,603586,金麒麟,SH,SSE_MAIN,2017-04-06,normal_missing
CN:SH:603711,603711,香飘飘,SH,SSE_MAIN,2017-11-30,normal_missing
CN:SH:603868,603868,飞科电器,SH,SSE_MAIN,2016-04-18,normal_missing
CN:SH:603878,603878,武进不锈,SH,SSE_MAIN,2016-12-19,normal_missing
CN:SH:603897,603897,长城科技,SH,SSE_MAIN,2018-04-10,normal_missing
CN:SH:603901,603901,永创智能,SH,SSE_MAIN,2015-05-29,normal_missing
CN:SH:603926,603926,铁流股份,SH,SSE_MAIN,2017-05-10,normal_missing
CN:SH:605005,605005,合兴股份,SH,SSE_MAIN,2021-01-19,normal_missing
CN:SH:605055,605055,迎丰股份,SH,SSE_MAIN,2021-01-29,normal_missing
CN:SH:605138,605138,盛泰集团,SH,SSE_MAIN,2021-10-27,normal_missing
CN:SH:605577,605577,龙版传媒,SH,SSE_MAIN,2021-08-24,normal_missing
CN:SH:688013,688013,天臣医疗,SH,STAR,2020-09-28,normal_missing
