stock_code,action,consumer_subindustry,reason,effective_from,effective_to
000550,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000572,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000625,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000800,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000868,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000913,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000951,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000957,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
000980,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
002594,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600006,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600066,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600099,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600104,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600166,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600303,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600375,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600418,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600686,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
600733,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
601127,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
601238,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
601633,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
601888,include,retail_duty_free,terminal_consumer_brand_audit,1900-01-01,
603079,exclude,,b2b_ingredient_supplier_audit,1900-01-01,
603129,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
603766,include,auto_oem,terminal_consumer_brand_audit,1900-01-01,
