primary_chain_id,primary_chain_name,asset_count,mean_since_first_hit_return,median_since_first_hit_return,mean_since_first_hit_max_drawdown,complete_count_20d,mean_return_20d,win_rate_20d,complete_count_60d,mean_return_60d,win_rate_60d,complete_count_120d,mean_return_120d,win_rate_120d,complete_count_250d,mean_return_250d,win_rate_250d
power_grid_energy_infrastructure,电网/能源基础设施,53,0.272416,0.018746,-0.279338,47,0.084211,0.595745,37,0.185275,0.72973,27,0.331386,0.814815,4,0.693188,1.0
robotics_core_components,机器人核心零部件,16,-0.012297,-0.030186,-0.253465,13,0.035599,0.615385,7,0.076311,0.285714,4,0.05906,0.75,1,0.161085,1.0
semiconductor_equipment,半导体设备,11,0.138915,0.186739,-0.304031,10,0.045727,0.4,8,0.017894,0.375,4,-0.014469,0.5,0,,
high_end_sensors,高端传感器,9,0.082853,0.03632,-0.286532,8,0.253483,0.875,5,0.103069,0.8,2,0.213394,1.0,1,0.006954,1.0
semiconductor_materials,半导体材料,9,0.713443,0.863087,-0.248307,8,0.147292,0.625,6,0.410344,0.833333,4,0.533559,1.0,0,,
ai_server_pcb,AI服务器PCB,8,0.523871,0.156713,-0.129691,4,0.227246,0.75,3,0.478396,0.666667,3,0.578574,1.0,0,,
lithography_eda_ip,光刻/EDA/半导体IP,8,0.292625,0.453116,-0.310503,8,0.016453,0.375,7,-0.030882,0.428571,5,0.18667,0.8,1,0.734836,1.0
liquid_cooling_thermal,液冷/热管理,7,0.498794,0.244088,-0.302818,7,0.198637,0.714286,5,0.060244,0.6,4,0.318594,1.0,1,0.933834,1.0
power_delivery,电源管理/供配电,7,0.041593,0.018543,-0.2358,6,0.03334,0.666667,6,0.050572,0.666667,3,0.355989,1.0,0,,
power_semiconductors,功率半导体,7,0.65365,0.389196,-0.236038,5,0.100141,0.8,5,0.250411,0.6,4,0.322182,1.0,0,,
ai_optical_interconnect,AI光模块/光通信,6,2.011039,0.95022,-0.241814,5,0.104531,0.8,5,0.521582,0.6,3,1.175336,0.666667,1,-0.165926,0.0
ceramics_electronic_materials,高端陶瓷/电子材料,5,0.298366,0.074189,-0.33741,5,0.051209,0.6,5,0.267492,0.8,4,0.396222,1.0,1,1.494311,1.0
mlcc_high_end_passives,MLCC/高端被动元件,3,0.427918,0.250867,-0.156606,2,0.169837,0.5,1,0.071268,1.0,1,-0.151538,0.0,0,,
abf_package_substrates,ABF/高端封装基板,1,0.172486,0.172486,-0.398516,1,-0.208442,0.0,1,-0.140698,0.0,1,-0.166754,0.0,0,,
advanced_packaging,先进封装,1,0.527027,0.527027,-0.252632,1,0.068412,1.0,1,-0.088682,0.0,1,0.143581,1.0,0,,
data_center_interconnect,数据中心光纤/高速连接器,1,0.68989,0.68989,-0.514635,1,0.077231,1.0,1,-0.130892,0.0,1,1.619478,1.0,0,,
magnetic_inductor_materials,高端磁性/电感材料,1,0.219739,0.219739,-0.356323,1,0.012337,1.0,1,-0.009777,0.0,1,0.030493,1.0,1,0.204842,1.0
