start_date,trough_date,end_date,days,trough_drawdown
2025-03-27,2025-06-20,2025-07-28,83,-0.1785123264420518
2025-11-10,2025-11-21,2026-01-08,42,-0.1311691260274029
2026-01-29,2026-02-02,2026-04-21,52,-0.0829786347319021
2025-09-02,2025-09-02,2025-09-04,3,-0.0561940802539692
2026-05-29,2026-06-01,2026-06-05,6,-0.0533892208762091
2025-09-25,2025-09-26,2025-10-14,8,-0.0427824996768053
2025-02-24,2025-02-28,2025-03-05,8,-0.038111469741517
2025-07-30,2025-07-31,2025-08-08,8,-0.0379528424900773
2025-09-12,2025-09-15,2025-09-15,2,-0.0291751523682055
2025-09-08,2025-09-09,2025-09-09,2,-0.0281701661288545
2025-01-08,2025-01-23,2025-02-14,22,-0.0236231280720417
2025-08-26,2025-08-27,2025-08-27,2,-0.0223813190889463
2025-03-10,2025-03-13,2025-03-17,6,-0.0212681862306541
2026-05-20,2026-05-21,2026-05-21,2,-0.0202803854961324
2026-05-14,2026-05-14,2026-05-15,2,-0.0192625691178137
2025-10-22,2025-10-23,2025-10-24,3,-0.0189624792447608
2026-01-22,2026-01-22,2026-01-22,1,-0.0173447396593304
2026-01-13,2026-01-13,2026-01-14,2,-0.0152472104738006
2025-10-17,2025-10-17,2025-10-17,1,-0.0151382163151464
2025-08-21,2025-08-21,2025-08-21,1,-0.0147028868462047
2025-09-19,2025-09-19,2025-09-19,1,-0.0146997037695478
2025-08-29,2025-08-29,2025-08-29,1,-0.0123446996303635
2025-03-21,2025-03-21,2025-03-21,1,-0.0090398020909907
2025-10-30,2025-10-30,2025-10-31,2,-0.0056713354835933
2025-03-25,2025-03-25,2025-03-25,1,-0.0034517257829088
2025-10-28,2025-10-28,2025-10-28,1,-0.0027194256819289
2026-01-27,2026-01-27,2026-01-27,1,-0.0018857403824407
2026-04-24,2026-04-24,2026-04-24,1,-0.0003151986202347
