asset_id,stock_name,trade_count,buy_count,sell_count,turnover,transaction_cost
CN:SH:600219,南山铝业,12,6,6,1.4000000000000001,0.0028
CN:SH:601100,恒立液压,12,6,6,1.5166666666666666,0.003033333333333267
CN:SZ:002028,思源电气,11,6,5,1.3166666666666667,0.0026333333333332667
CN:SZ:300274,阳光电源,10,5,5,1.4000000000000001,0.0028
CN:SH:688002,睿创微纳,10,5,5,1.04,0.0020800000000000003
CN:SH:688190,云路股份,9,4,5,2.25,0.004499999999999967
CN:SZ:300567,精测电子,9,4,5,1.04,0.0020800000000000003
CN:SH:603501,豪威集团,8,5,3,1.05,0.0021
CN:SH:603757,大元泵业,8,4,4,1.24,0.00248
CN:SZ:002402,和而泰,8,4,4,1.2000000000000002,0.0024000000000000002
CN:SZ:300602,飞荣达,7,3,4,1.0,0.002
CN:SH:601077,渝农商行,7,4,3,1.0,0.002
CN:SZ:002885,京泉华,7,2,5,0.64,0.00128
CN:SZ:300308,中际旭创,7,3,4,0.8,0.0016
CN:SZ:000027,深圳能源,6,3,3,0.72,0.00144
CN:SZ:000541,佛山照明,6,3,3,0.8,0.0016
CN:SZ:300014,亿纬锂能,6,3,3,0.8,0.0016
CN:SZ:300750,宁德时代,6,3,3,0.6000000000000001,0.0012000000000000001
CN:SH:688011,新光光电,6,3,3,1.2000000000000002,0.0024000000000000002
CN:SH:601939,建设银行,6,3,3,0.72,0.00144
CN:SH:600780,通宝能源,6,3,3,0.8,0.0016
CN:SH:600388,龙净环保,5,2,3,0.64,0.00128
CN:SZ:002730,电光科技,5,2,3,0.48000000000000004,0.00096
CN:SZ:000531,穗恒运Ａ,4,2,2,0.44,0.00088
CN:SH:605389,长龄液压,4,2,2,0.56,0.0011200000000000001
CN:SZ:002371,北方华创,4,2,2,0.36,0.00072
CN:SZ:300408,三环集团,3,2,1,0.4,0.0008
CN:SH:603931,格林达,3,2,1,0.4,0.0008
CN:SH:601998,中信银行,3,1,2,0.2,0.0004
CN:SZ:002979,雷赛智能,2,2,0,0.2,0.0004
CN:SZ:000400,许继电气,2,1,1,0.2,0.0004
CN:SZ:002838,道恩股份,2,1,1,0.4,0.0008
CN:SZ:002532,天山铝业,2,1,1,0.4,0.0008
CN:SZ:002222,福晶科技,2,1,1,0.4,0.0008
CN:SZ:002074,国轩高科,2,1,1,0.4,0.0008
CN:SH:688411,海博思创,2,1,1,0.2,0.0004
CN:SH:601126,四方股份,2,1,1,0.4,0.0008
CN:SH:688486,龙迅股份,1,1,0,0.2,0.0004
CN:SH:600183,生益科技,1,1,0,0.2,0.0004
